"ITE001001"	"BC-H-001001"
"ITE001103"	"ABC001103"
"ITE001104"	"ABC001104"
"ITE001105"	"ABC001105"
"ITE001106"	"ABC001106"
"ITE001107"	"ABC001107"
"ITE001108"	"ABC001108"
"ITE001109"	"ABC001109"
"ITE001110"	"ABC001110"
"ITE001111"	"ABC001111"
"ITE001112"	"ABC001112"
"ITE001113"	"ABC001113"
"ITE001114"	"ABC001114"
"ITE001115"	"ABC001115"
"ITE001116"	"ABC001116"
"ITE001117"	"ABC001117"
"ITE001118"	"ABC001118"
"ITE001119"	"ABC001119"
"ITE001120"	"BC-H-001120"
"ITE001121"	"ABC001121"
"ITE001122"	"ABC001122"
"ITE001123"	"ABC001123"
"ITE001124"	"ABC001124"
"ITE001125"	"ABC001125"
"ITE001126"	"ABC001126"
"ITE001127"	"ABC001127"
"ITE001128"	"ABC001128"
"ITE001129"	"ABC001129"
"ITE001130"	"ABC001130"
"ITE001131"	"ABC001131"
"ITE001132"	"ABC001132"
"ITE001133"	"ABC001133"
"ITE001134"	"ABC001134"
"ITE001135"	"ABC001135"
"ITE001136"	"ABC001136"
"ITE001137"	"BC-H-001137"
"ITE001138"	"ABC001138"
"ITE001139"	"ABC001139"
"ITE001140"	"ABC001140"
"ITE001141"	"ABC001141"
"ITE001142"	"ABC001142"
"ITE001143"	"ABC001143"
"ITE001144"	"ABC001144"
"ITE001145"	"ABC001145"
"ITE001146"	"ABC001146"
"ITE001147"	"ABC001147"
"ITE001148"	"ABC001148"
"ITE001149"	"ABC001149"
"ITE001150"	"ABC001150"
"ITE001151"	"ABC001151"
"ITE001152"	"ABC001152"
"ITE001153"	"ABC001153"
"ITE001154"	"ABC001154"
"ITE001155"	"ABC001155"
"ITE001156"	"ABC001156"
"ITE001157"	"ABC001157"
"ITE001158"	"ABC001158"
"ITE001159"	"ABC001159"
"ITE001160"	"BC-H-001160"
"ITE001161"	"ABC001161"
"ITE001162"	"ABC001162"
"ITE001163"	"BC-H-001163"
"ITE001164"	"ABC001164"
"ITE001165"	"ABC001165"
"ITE001166"	"ABC001166"
"ITE001167"	"ABC001167"
"ITE001168"	"ABC001168"
"ITE001169"	"ABC001169"
"ITE001170"	"ABC001170"
"ITE001171"	"ABC001171"
"ITE001172"	"ABC001172"
"ITE001173"	"ABC001173"
"ITE001174"	"ABC001174"
"ITE001175"	"ABC001175"
"ITE001176"	"ABC001176"
"ITE001177"	"ABC001177"
"ITE001178"	"ABC001178"
"ITE001179"	"ABC001179"
"ITE001180"	"ABC001180"
"ITE001181"	"ABC001181"
"ITE001182"	"ABC001182"
"ITE001183"	"ABC001183"
"ITE001184"	"ABC001184"
"ITE001185"	"ABC001185"
"ITE001186"	"ABC001186"
"ITE001187"	"ABC001187"
"ITE001188"	"ABC001188"
"ITE001189"	"ABC001189"
"ITE001190"	"ABC001190"
"ITE001191"	"ABC001191"
"ITE001192"	"ABC001192"
"ITE001193"	"ABC001193"
"ITE001194"	"ABC001194"
"ITE001195"	"ABC001195"
"ITE001196"	"BC-H-001196"
"ITE001197"	"ABC001197"
"ITE001198"	"ABC001198"
"ITE001199"	"ABC001199"
"ITE001200"	"ABC001200"
"ITE001201"	"BC-H-001201"
"ITE001202"	"ABC001202"
"ITE001203"	"ABC001203"
"ITE001204"	"ABC001204"
"ITE001205"	"BC-H-001205"
"ITE001206"	"ABC001206"
"ITE001207"	"ABC001207"
"ITE001208"	"ABC001208"
"ITE001209"	"ABC001209"
"ITE001210"	"ABC001210"
"ITE001211"	"ABC001211"
"ITE001212"	"ABC001212"
"ITE001213"	"ABC001213"
"ITE001214"	"ABC001214"
"ITE001215"	"ABC001215"
"ITE001216"	"ABC001216"
"ITE001217"	"ABC001217"
"ITE001218"	"BC-H-001218"
"ITE001219"	"ABC001219"
"ITE001220"	"ABC001220"
"ITE001221"	"ABC001221"
"ITE001222"	"ABC001222"
"ITE001223"	"BC-H-001223"
"ITE001224"	"ABC001224"
"ITE001225"	"ABC001225"
"ITE001226"	"ABC001226"
"ITE001227"	"ABC001227"
"ITE001228"	"ABC001228"
"ITE001229"	"ABC001229"
"ITE001230"	"ABC001230"
"ITE001231"	"ABC001231"
"ITE001232"	"ABC001232"
"ITE001233"	"ABC001233"
"ITE001234"	"ABC001234"
"ITE001235"	"ABC001235"
"ITE001236"	"ABC001236"
"ITE001237"	"ABC001237"
"ITE001238"	"ABC001238"
"ITE001239"	"ABC001239"
"ITE001240"	"ABC001240"
"ITE001241"	"ABC001241"
"ITE001242"	"ABC001242"
"ITE001243"	"ABC001243"
"ITE001244"	"ABC001244"
"ITE001245"	"BC-H-001245"
"ITE001246"	"ABC001246"
"ITE001247"	"ABC001247"
"ITE001248"	"ABC001248"
"ITE001249"	"ABC001249"
"ITE001250"	"ABC001250"
"ITE001251"	"ABC001251"
"ITE001252"	"ABC001252"
"ITE001253"	"ABC001253"
"ITE001254"	"ABC001254"
"ITE001255"	"ABC001255"
"ITE001256"	"ABC001256"
"ITE001257"	"BC-H-001257"
"ITE001258"	"ABC001258"
"ITE001259"	"ABC001259"
"ITE001260"	"ABC001260"
"ITE001261"	"ABC001261"
"ITE001262"	"ABC001262"
"ITE001263"	"ABC001263"
"ITE001264"	"ABC001264"
"ITE001265"	"ABC001265"
"ITE001266"	"ABC001266"
"ITE001267"	"ABC001267"
"ITE001268"	"ABC001268"
"ITE001269"	"ABC001269"
"ITE001270"	"ABC001270"
"ITE001271"	"ABC001271"
"ITE001272"	"ABC001272"
"ITE001273"	"ABC001273"
"ITE001274"	"ABC001274"
"ITE001275"	"ABC001275"
"ITE001276"	"ABC001276"
"ITE001277"	"ABC001277"
"ITE001278"	"ABC001278"
"ITE001279"	"ABC001279"
"ITE001280"	"ABC001280"
"ITE001281"	"ABC001281"
"ITE001282"	"ABC001282"
"ITE001283"	"ABC001283"
"ITE001284"	"ABC001284"
"ITE001285"	"ABC001285"
"ITE001286"	"ABC001286"
"ITE001287"	"ABC001287"
"ITE001288"	"ABC001288"
"ITE001289"	"BC-H-001289"
"ITE001290"	"ABC001290"
"ITE001291"	"ABC001291"
"ITE001292"	"ABC001292"
"ITE001293"	"ABC001293"
"ITE001294"	"BC-H-001294"
"ITE001295"	"ABC001295"
"ITE001296"	"ABC001296"
"ITE001297"	"ABC001297"
"ITE001298"	"ABC001298"
"ITE001299"	"ABC001299"
"ITE001300"	"ABC001300"
"ITE001301"	"ABC001301"
"ITE001302"	"ABC001302"
"ITE001303"	"ABC001303"
"ITE001304"	"ABC001304"
"ITE001305"	"ABC001305"
"ITE001306"	"ABC001306"
"ITE001307"	"ABC001307"
"ITE001308"	"ABC001308"
"ITE001309"	"ABC001309"
"ITE001310"	"ABC001310"
"ITE001311"	"ABC001311"
"ITE001312"	"ABC001312"
"ITE001313"	"ABC001313"
"ITE001314"	"BC-H-001314"
"ITE001315"	"ABC001315"
"ITE001316"	"ABC001316"
"ITE001317"	"ABC001317"
"ITE001318"	"ABC001318"
"ITE001319"	"ABC001319"
"ITE001320"	"ABC001320"
"ITE001321"	"ABC001321"
"ITE001322"	"ABC001322"
"ITE001323"	"ABC001323"
"ITE001324"	"ABC001324"
"ITE001325"	"ABC001325"
"ITE001326"	"ABC001326"
"ITE001327"	"BC-H-001327"
"ITE001328"	"ABC001328"
"ITE001329"	"ABC001329"
"ITE001330"	"ABC001330"
"ITE001331"	"BC-H-001331"
"ITE001332"	"BC-H-001332"
"ITE001333"	"ABC001333"
"ITE001334"	"ABC001334"
"ITE001335"	"ABC001335"
"ITE001336"	"ABC001336"
"ITE001337"	"ABC001337"
"ITE001338"	"ABC001338"
"ITE001339"	"ABC001339"
"ITE001340"	"ABC001340"
"ITE001341"	"ABC001341"
"ITE001342"	"ABC001342"
"ITE001343"	"ABC001343"
"ITE001344"	"ABC001344"
"ITE001345"	"ABC001345"
"ITE001346"	"ABC001346"
"ITE001347"	"ABC001347"
"ITE001348"	"ABC001348"
"ITE001349"	"ABC001349"
"ITE001350"	"ABC001350"
"ITE001351"	"ABC001351"
"ITE001352"	"BC-H-001352"
"ITE001353"	"ABC001353"
"ITE001354"	"ABC001354"
"ITE001355"	"ABC001355"
"ITE001356"	"ABC001356"
"ITE001357"	"ABC001357"
"ITE001358"	"ABC001358"
"ITE001359"	"ABC001359"
"ITE001360"	"ABC001360"
"ITE001361"	"ABC001361"
"ITE001362"	"ABC001362"
"ITE001363"	"BC-H-001363"
"ITE001364"	"ABC001364"
"ITE001365"	"ABC001365"
"ITE001366"	"ABC001366"
"ITE001367"	"ABC001367"
"ITE001368"	"ABC001368"
"ITE001369"	"ABC001369"
"ITE001370"	"ABC001370"
"ITE001371"	"ABC001371"
"ITE001372"	"ABC001372"
"ITE001373"	"BC-H-001373"
"ITE001374"	"ABC001374"
"ITE001375"	"ABC001375"
"ITE001376"	"ABC001376"
"ITE001377"	"ABC001377"
"ITE001378"	"BC-H-001378"
"ITE001379"	"ABC001379"
"ITE001380"	"ABC001380"
"ITE001381"	"ABC001381"
"ITE001382"	"ABC001382"
"ITE001383"	"ABC001383"
"ITE001384"	"ABC001384"
"ITE001385"	"ABC001385"
"ITE001386"	"ABC001386"
"ITE001387"	"ABC001387"
"ITE001388"	"ABC001388"
"ITE001389"	"ABC001389"
"ITE001390"	"ABC001390"
"ITE001391"	"ABC001391"
"ITE001392"	"ABC001392"
"ITE001393"	"ABC001393"
"ITE001394"	"ABC001394"
"ITE001395"	"ABC001395"
"ITE001396"	"ABC001396"
"ITE001397"	"ABC001397"
"ITE001398"	"ABC001398"
"ITE001399"	"ABC001399"
"ITE001400"	"ABC001400"
"ITE001401"	"ABC001401"
"ITE001402"	"ABC001402"
"ITE001403"	"ABC001403"
"ITE001404"	"ABC001404"
"ITE001405"	"ABC001405"
"ITE001406"	"ABC001406"
"ITE001407"	"ABC001407"
"ITE001408"	"ABC001408"
"ITE001409"	"BC-H-001409"
"ITE001410"	"ABC001410"
"ITE001411"	"ABC001411"
"ITE001412"	"ABC001412"
"ITE001413"	"ABC001413"
"ITE001414"	"ABC001414"
"ITE001415"	"ABC001415"
"ITE001416"	"BC-H-001416"
"ITE001417"	"ABC001417"
"ITE001418"	"ABC001418"
"ITE001419"	"ABC001419"
"ITE001420"	"BC-H-001420"
"ITE001421"	"ABC001421"
"ITE001422"	"ABC001422"
"ITE001423"	"ABC001423"
"ITE001424"	"ABC001424"
"ITE001425"	"ABC001425"
"ITE001426"	"ABC001426"
"ITE001427"	"ABC001427"
"ITE001428"	"ABC001428"
"ITE001429"	"ABC001429"
"ITE001430"	"ABC001430"
"ITE001431"	"ABC001431"
"ITE001432"	"ABC001432"
"ITE001433"	"ABC001433"
"ITE001434"	"ABC001434"
"ITE001435"	"ABC001435"
"ITE001436"	"ABC001436"
"ITE001437"	"ABC001437"
"ITE001438"	"ABC001438"
"ITE001439"	"ABC001439"
"ITE001440"	"ABC001440"
"ITE001441"	"ABC001441"
"ITE001442"	"ABC001442"
"ITE001443"	"ABC001443"
"ITE001444"	"ABC001444"
"ITE001445"	"ABC001445"
"ITE001446"	"ABC001446"
"ITE001447"	"ABC001447"
"ITE001448"	"ABC001448"
"ITE001449"	"ABC001449"
"ITE001450"	"ABC001450"
"ITE001451"	"ABC001451"
"ITE001452"	"ABC001452"
"ITE001453"	"ABC001453"
"ITE001454"	"ABC001454"
"ITE001455"	"ABC001455"
"ITE001456"	"ABC001456"
"ITE001457"	"ABC001457"
"ITE001458"	"ABC001458"
"ITE001459"	"ABC001459"
"ITE001460"	"ABC001460"
"ITE001461"	"ABC001461"
"ITE001462"	"ABC001462"
"ITE001463"	"ABC001463"
"ITE001464"	"ABC001464"
"ITE001465"	"ABC001465"
"ITE001466"	"ABC001466"
"ITE001467"	"ABC001467"
"ITE001468"	"ABC001468"
"ITE001469"	"ABC001469"
"ITE001470"	"ABC001470"
"ITE001471"	"ABC001471"
"ITE001472"	"ABC001472"
"ITE001473"	"ABC001473"
"ITE001474"	"ABC001474"
"ITE001475"	"ABC001475"
"ITE001476"	"ABC001476"
"ITE001477"	"ABC001477"
"ITE001478"	"ABC001478"
"ITE001479"	"ABC001479"
"ITE001480"	"ABC001480"
"ITE001481"	"ABC001481"
"ITE001482"	"ABC001482"
"ITE001483"	"ABC001483"
"ITE001484"	"ABC001484"
"ITE001485"	"ABC001485"
"ITE001486"	"ABC001486"
"ITE001487"	"ABC001487"
"ITE001488"	"ABC001488"
"ITE001489"	"ABC001489"
"ITE001490"	"ABC001490"
"ITE001491"	"ABC001491"
"ITE001492"	"ABC001492"
"ITE001493"	"ABC001493"
"ITE001494"	"ABC001494"
"ITE001495"	"ABC001495"
"ITE001496"	"BC-H-001496"
"ITE001497"	"ABC001497"
"ITE001498"	"ABC001498"
"ITE001499"	"ABC001499"
"ITE001500"	"ABC001500"
"ITE001501"	"ABC001501"
"ITE001502"	"ABC001502"
"ITE001503"	"ABC001503"
"ITE001504"	"ABC001504"
"ITE001505"	"ABC001505"
"ITE001506"	"ABC001506"
"ITE001507"	"ABC001507"
"ITE001508"	"ABC001508"
"ITE001509"	"ABC001509"
"ITE001510"	"ABC001510"
"ITE001511"	"ABC001511"
"ITE001512"	"ABC001512"
"ITE001513"	"ABC001513"
"ITE001514"	"ABC001514"
"ITE001515"	"ABC001515"
"ITE001516"	"ABC001516"
"ITE001517"	"ABC001517"
"ITE001518"	"ABC001518"
"ITE001519"	"ABC001519"
"ITE001520"	"ABC001520"
"ITE001521"	"BC-H-001521"
"ITE001522"	"ABC001522"
"ITE001523"	"ABC001523"
"ITE001524"	"ABC001524"
"ITE001525"	"BC-H-001525"
"ITE001526"	"ABC001526"
"ITE001527"	"BC-H-001527"
"ITE001528"	"ABC001528"
"ITE001529"	"ABC001529"
"ITE001530"	"ABC001530"
"ITE001531"	"ABC001531"
"ITE001532"	"ABC001532"
"ITE001533"	"ABC001533"
"ITE001534"	"BC-H-001534"
"ITE001535"	"ABC001535"
"ITE001536"	"ABC001536"
"ITE001537"	"ABC001537"
"ITE001538"	"ABC001538"
"ITE001539"	"ABC001539"
"ITE001540"	"ABC001540"
"ITE001541"	"ABC001541"
"ITE001542"	"ABC001542"
"ITE001543"	"ABC001543"
"ITE001544"	"BC-H-001544"
"ITE001545"	"ABC001545"
"ITE001546"	"ABC001546"
"ITE001547"	"ABC001547"
"ITE001548"	"ABC001548"
"ITE001549"	"ABC001549"
"ITE001550"	"ABC001550"
"ITE001551"	"ABC001551"
"ITE001552"	"ABC001552"
"ITE001553"	"ABC001553"
"ITE001554"	"ABC001554"
"ITE001555"	"ABC001555"
"ITE001556"	"ABC001556"
"ITE001557"	"ABC001557"
"ITE001558"	"ABC001558"
"ITE001559"	"ABC001559"
"ITE001560"	"ABC001560"
"ITE001561"	"ABC001561"
"ITE001562"	"ABC001562"
"ITE001563"	"ABC001563"
"ITE001564"	"ABC001564"
"ITE001565"	"ABC001565"
"ITE001566"	"ABC001566"
"ITE001567"	"ABC001567"
"ITE001568"	"ABC001568"
"ITE001569"	"ABC001569"
"ITE001570"	"ABC001570"
"ITE001571"	"ABC001571"
"ITE001572"	"ABC001572"
"ITE001573"	"ABC001573"
"ITE001574"	"ABC001574"
"ITE001575"	"ABC001575"
"ITE001576"	"ABC001576"
"ITE001577"	"ABC001577"
"ITE001578"	"ABC001578"
"ITE001579"	"ABC001579"
"ITE001580"	"ABC001580"
"ITE001581"	"ABC001581"
"ITE001582"	"ABC001582"
"ITE001583"	"ABC001583"
"ITE001584"	"ABC001584"
"ITE001585"	"ABC001585"
"ITE001586"	"ABC001586"
"ITE001587"	"ABC001587"
"ITE001588"	"ABC001588"
"ITE001589"	"ABC001589"
"ITE001590"	"ABC001590"
"ITE001591"	"ABC001591"
"ITE001592"	"ABC001592"
"ITE001593"	"ABC001593"
"ITE001594"	"ABC001594"
"ITE001595"	"ABC001595"
"ITE001596"	"ABC001596"
"ITE001597"	"ABC001597"
"ITE001598"	"ABC001598"
"ITE001599"	"ABC001599"
"ITE001600"	"ABC001600"
"ITE001601"	"ABC001601"
"ITE001602"	"ABC001602"
"ITE001603"	"ABC001603"
"ITE001604"	"ABC001604"
"ITE001605"	"ABC001605"
"ITE001606"	"ABC001606"
"ITE001607"	"ABC001607"
"ITE001608"	"ABC001608"
"ITE001609"	"ABC001609"
"ITE001610"	"ABC001610"
"ITE001611"	"ABC001611"
"ITE001612"	"ABC001612"
"ITE001613"	"ABC001613"
"ITE001614"	"ABC001614"
"ITE001615"	"ABC001615"
"ITE001616"	"ABC001616"
"ITE001617"	"ABC001617"
"ITE001618"	"ABC001618"
"ITE001619"	"ABC001619"
"ITE001620"	"ABC001620"
"ITE001621"	"ABC001621"
"ITE001622"	"ABC001622"
"ITE001623"	"ABC001623"
"ITE001624"	"ABC001624"
"ITE001625"	"ABC001625"
"ITE001626"	"BC-H-001626"
"ITE001627"	"ABC001627"
"ITE001628"	"ABC001628"
"ITE001629"	"ABC001629"
"ITE001630"	"ABC001630"
"ITE001631"	"ABC001631"
"ITE001632"	"ABC001632"
"ITE001633"	"ABC001633"
"ITE001634"	"ABC001634"
"ITE001635"	"ABC001635"
"ITE001636"	"ABC001636"
"ITE001637"	"ABC001637"
"ITE001638"	"ABC001638"
"ITE001639"	"BC-H-001639"
"ITE001640"	"ABC001640"
"ITE001641"	"BC-H-001641"
"ITE001642"	"ABC001642"
"ITE001643"	"ABC001643"
"ITE001644"	"BC-H-001644"
"ITE001645"	"ABC001645"
"ITE001646"	"ABC001646"
"ITE001647"	"ABC001647"
"ITE001648"	"ABC001648"
"ITE001649"	"ABC001649"
"ITE001650"	"ABC001650"
"ITE001651"	"ABC001651"
"ITE001652"	"ABC001652"
"ITE001653"	"ABC001653"
"ITE001654"	"ABC001654"
"ITE001655"	"ABC001655"
"ITE001656"	"ABC001656"
"ITE001657"	"ABC001657"
"ITE001658"	"ABC001658"
"ITE001659"	"ABC001659"
"ITE001660"	"ABC001660"
"ITE001661"	"ABC001661"
"ITE001662"	"ABC001662"
"ITE001663"	"ABC001663"
"ITE001664"	"ABC001664"
"ITE001665"	"ABC001665"
"ITE001666"	"BC-H-001666"
"ITE001667"	"ABC001667"
"ITE001668"	"ABC001668"
"ITE001669"	"ABC001669"
"ITE001670"	"ABC001670"
"ITE001671"	"ABC001671"
"ITE001672"	"ABC001672"
"ITE001673"	"BC-H-001673"
"ITE001674"	"ABC001674"
"ITE001675"	"ABC001675"
"ITE001676"	"ABC001676"
"ITE001677"	"ABC001677"
"ITE001678"	"ABC001678"
"ITE001679"	"BC-H-001679"
"ITE001680"	"ABC001680"
"ITE001681"	"ABC001681"
"ITE001682"	"ABC001682"
"ITE001683"	"ABC001683"
"ITE001684"	"ABC001684"
"ITE001685"	"ABC001685"
"ITE001686"	"ABC001686"
"ITE001687"	"ABC001687"
"ITE001688"	"ABC001688"
"ITE001689"	"ABC001689"
"ITE001690"	"ABC001690"
"ITE001691"	"ABC001691"
"ITE001692"	"ABC001692"
"ITE001693"	"ABC001693"
"ITE001694"	"ABC001694"
"ITE001695"	"ABC001695"
"ITE001696"	"BC-H-001696"
"ITE001697"	"ABC001697"
"ITE001698"	"ABC001698"
"ITE001699"	"ABC001699"
"ITE001700"	"ABC001700"
"ITE001701"	"ABC001701"
"ITE001702"	"ABC001702"
"ITE001703"	"ABC001703"
"ITE001704"	"ABC001704"
"ITE001705"	"ABC001705"
"ITE001706"	"ABC001706"
"ITE001707"	"ABC001707"
"ITE001708"	"ABC001708"
"ITE001709"	"ABC001709"
"ITE001710"	"ABC001710"
"ITE001711"	"ABC001711"
"ITE001712"	"ABC001712"
"ITE001713"	"ABC001713"
"ITE001714"	"ABC001714"
"ITE001715"	"ABC001715"
"ITE001716"	"ABC001716"
"ITE001717"	"ABC001717"
"ITE001718"	"ABC001718"
"ITE001719"	"ABC001719"
"ITE001720"	"ABC001720"
"ITE001721"	"ABC001721"
"ITE001722"	"ABC001722"
"ITE001723"	"ABC001723"
"ITE001724"	"ABC001724"
"ITE001725"	"ABC001725"
"ITE001726"	"BC-H-001726"
"ITE001727"	"ABC001727"
"ITE001728"	"ABC001728"
"ITE001729"	"ABC001729"
"ITE001730"	"ABC001730"
"ITE001731"	"ABC001731"
"ITE001732"	"ABC001732"
"ITE001733"	"ABC001733"
"ITE001734"	"ABC001734"
"ITE001735"	"ABC001735"
"ITE001736"	"ABC001736"
"ITE001737"	"ABC001737"
"ITE001738"	"ABC001738"
"ITE001739"	"ABC001739"
"ITE001740"	"ABC001740"
"ITE001741"	"ABC001741"
"ITE001742"	"ABC001742"
"ITE001743"	"ABC001743"
"ITE001744"	"ABC001744"
"ITE001745"	"ABC001745"
"ITE001746"	"ABC001746"
"ITE001747"	"ABC001747"
"ITE001748"	"ABC001748"
"ITE001749"	"ABC001749"
"ITE001750"	"ABC001750"
"ITE001751"	"ABC001751"
"ITE001752"	"ABC001752"
"ITE001753"	"ABC001753"
"ITE001754"	"ABC001754"
"ITE001755"	"ABC001755"
"ITE001756"	"ABC001756"
"ITE001757"	"ABC001757"
"ITE001758"	"ABC001758"
"ITE001759"	"ABC001759"
"ITE001760"	"ABC001760"
"ITE001761"	"ABC001761"
"ITE001762"	"ABC001762"
"ITE001763"	"ABC001763"
"ITE001764"	"ABC001764"
"ITE001765"	"ABC001765"
"ITE001766"	"ABC001766"
"ITE001767"	"ABC001767"
"ITE001768"	"ABC001768"
"ITE001769"	"ABC001769"
"ITE001770"	"ABC001770"
"ITE001771"	"ABC001771"
"ITE001772"	"ABC001772"
"ITE001773"	"ABC001773"
"ITE001774"	"ABC001774"
"ITE001775"	"ABC001775"
"ITE001776"	"ABC001776"
"ITE001777"	"ABC001777"
"ITE001778"	"ABC001778"
"ITE001779"	"ABC001779"
"ITE001780"	"ABC001780"
"ITE001781"	"ABC001781"
"ITE001782"	"ABC001782"
"ITE001783"	"ABC001783"
"ITE001784"	"ABC001784"
"ITE001785"	"ABC001785"
"ITE001786"	"ABC001786"
"ITE001787"	"ABC001787"
"ITE001788"	"ABC001788"
"ITE001789"	"ABC001789"
"ITE001790"	"ABC001790"
"ITE001791"	"ABC001791"
"ITE001792"	"ABC001792"
"ITE001793"	"ABC001793"
"ITE001794"	"ABC001794"
"ITE001795"	"ABC001795"
"ITE001796"	"ABC001796"
"ITE001797"	"BC-H-001797"
"ITE001798"	"ABC001798"
"ITE001799"	"ABC001799"
"ITE001800"	"ABC001800"
"ITE001801"	"ABC001801"
"ITE001802"	"ABC001802"
"ITE001803"	"BC-H-001803"
"ITE001804"	"ABC001804"
"ITE001805"	"ABC001805"
"ITE001806"	"ABC001806"
"ITE001807"	"ABC001807"
"ITE001808"	"ABC001808"
"ITE001809"	"ABC001809"
"ITE001810"	"ABC001810"
"ITE001811"	"ABC001811"
"ITE001812"	"ABC001812"
"ITE001813"	"ABC001813"
"ITE001814"	"ABC001814"
"ITE001815"	"BC-H-001815"
"ITE001816"	"ABC001816"
"ITE001817"	"ABC001817"
"ITE001818"	"ABC001818"
"ITE001819"	"ABC001819"
"ITE001820"	"ABC001820"
"ITE001821"	"ABC001821"
"ITE001822"	"ABC001822"
"ITE001823"	"BC-H-001823"
"ITE001824"	"ABC001824"
"ITE001825"	"ABC001825"
"ITE001826"	"ABC001826"
"ITE001827"	"ABC001827"
"ITE001828"	"ABC001828"
"ITE001829"	"ABC001829"
"ITE001830"	"BC-H-001830"
"ITE001831"	"ABC001831"
"ITE001832"	"ABC001832"
"ITE001833"	"ABC001833"
"ITE001834"	"ABC001834"
"ITE001835"	"ABC001835"
"ITE001836"	"ABC001836"
"ITE001837"	"ABC001837"
"ITE001838"	"ABC001838"
"ITE001839"	"ABC001839"
"ITE001840"	"ABC001840"
"ITE001841"	"ABC001841"
"ITE001842"	"ABC001842"
"ITE001843"	"ABC001843"
"ITE001844"	"ABC001844"
"ITE001845"	"ABC001845"
"ITE001846"	"ABC001846"
"ITE001847"	"BC-H-001847"
"ITE001848"	"BC-H-001848"
"ITE001849"	"ABC001849"
"ITE001850"	"ABC001850"
"ITE001851"	"ABC001851"
"ITE001852"	"ABC001852"
"ITE001853"	"ABC001853"
"ITE001854"	"ABC001854"
"ITE001855"	"ABC001855"
"ITE001856"	"ABC001856"
"ITE001857"	"ABC001857"
"ITE001858"	"ABC001858"
"ITE001859"	"ABC001859"
"ITE001860"	"ABC001860"
"ITE001861"	"ABC001861"
"ITE001862"	"ABC001862"
"ITE001863"	"ABC001863"
"ITE001864"	"ABC001864"
